Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
AetherNet — Sprint 1: Infra & Firmware Base,08/12/2026,10:00 AM,08/25/2026,11:00 PM,FALSE,Semanas 1-2 | RF/HU RNF-1.1/1.2 RF-2.1 RF-3.1 | Hito Docker up + /health 200 + 2× nRF24L01 initialized + isChipConnected=1 | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12... | Repo github.com/Craos6518/AetherNet-IoT-Autonomous-Rover,Lab UTP / GitHub Projects 14,FALSE
AetherNet — Sprint 2: Domótica & Acceso,08/26/2026,10:00 AM,09/08/2026,11:00 PM,FALSE,"Semanas 3-4 | RF/HU RF-2.2/2.3 HU-01/02 RF-2.1 RNF-2.2 | Hito PIN 1234 → servo 90° LED verde 5s POST 201 + láser→SECURITY: LED rojo 3s | Backlogs: FW-MEGA-CERROJO Keypad 4×4 (30/32/34/36 +22/24/26/28) + MG90S pin9 0°/90° + LED 44/45/46 (config.h:17, c7ce065); FW-MEGA-LASER KY-008 S8 + LDR 7 INPUT 10k→GND, CHECK 50ms COOLDOWN 3s laser.cpp (c7ce065 2026-09-07, test-laser-uno); MOV-02 LedStatusCard 64dp + mapper 5s/10s/1s + poll 5s (eb01fdd 2026-09-07)... | Repo github.com/Craos6518/AetherNet-IoT-Autonomous-Rover",Lab UTP / GitHub Projects 14,FALSE
AetherNet — Sprint 3: Rover & Telemetría,09/09/2026,10:00 AM,09/22/2026,11:00 PM,FALSE,"Semanas 5-6 (planificado) | RF/HU RF-3.2/3.3 HU-04 RF-1.2/1.3 | Hito Joystick X,Y → RF TX/RX <10 ms + HC-SR04 sin colisión + TCRT anti-caída + fail-stop | Backlogs: FW-ROVER chasis oruga + L298N + HC-SR04 + 3×TCRT5000 (RF-3.2); Fail-safe RF 300–500 ms rover-uno.ino:220 PWM 0 si sin paquete (HU-04 RF-3.3); MOV-05 Joystick Compose captura X,Y... | Repo github.com/Craos6518/AetherNet-IoT-Autonomous-Rover",Lab UTP / GitHub Projects 14,FALSE
"AetherNet — Sprint 4: LowCode, Estadística y Cierre",09/23/2026,10:00 AM,10/06/2026,11:00 PM,FALSE,"Semanas 7-8 (planificado) | RF/HU RF-4.1 RNF-2.1/2.2 HU-03 KPI >85% | Hito Telegram <2 s + EMA >85% + t-Student report + E2E verde + tag release | Backlogs: LOW-03 Telegram bot BotFather HTTP direct api.telegram.org (RF-4.1); LOW-05 Flujo intrusión láser→Telegram + LED rojo (HU-02, sin Tuya ADR-001); EST-02 EMA firmware C++ α=0.2 HC-SR04 (rover-uno.ino:259)... | Repo github.com/Craos6518/AetherNet-IoT-Autonomous-Rover",Lab UTP / GitHub Projects 14,FALSE
AetherNet — Buffer & Sustentación,10/07/2026,10:00 AM,10/09/2026,11:00 PM,FALSE,"Semana 9 (buffer) | RF/HU  | Hito Sustentación UTP + entrega PDF + demo hardware | Backlogs: Pruebas E2E finales, presentación, anexos Fritzing/UML, informe final, encuesta validación; Ensayo demo <15 min (HU-01→HU-03→HU-02→HU-04)... | Repo github.com/Craos6518/AetherNet-IoT-Autonomous-Rover",Lab UTP / GitHub Projects 14,FALSE
AetherNet S1 — Trabajo,08/12/2026,10:00 AM,08/12/2026,6:30 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/12/2026,10:10 PM,08/12/2026,11:00 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/13/2026,10:00 AM,08/13/2026,6:30 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/13/2026,8:10 PM,08/13/2026,11:00 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
AetherNet S1 — Trabajo,08/14/2026,10:00 AM,08/14/2026,6:30 PM,FALSE,AetherNet — Sprint 1: Infra & Firmware Base | Backlogs: DEVOPS-01 Docker Compose FastAPI+PG16+Mosquitto (docker-compose.yml:1) — 2026-08-12 5d; DEVOPS-02 Mosquitto ACL aethernet/# + $SYS/# (mosquitto.conf:1 acl.conf:1) — 2026-08-12; DEVOPS-03 init.sql 4 tablas + event_metadata fix (models.py:34) — 2026-08-12,Laboratorio UTP,FALSE
